district_id,district,neighborhood,neighborhood_id,Insgesamt,unter 6 Jahren,6 - 15,15 - 18,18 - 27,27 - 45,45 - 55,55 - 65,"65 Jahren und
mehr","Darunter
weiblich"
11001001,Mitte,Mitte,0101,108953,5453,7484,2261,11556,40928,14553,12658,14060,53717
11001001,Mitte,Moabit,0102,84913,4123,5615,1863,10562,32773,9527,9316,11134,40642
11001001,Mitte,Hansaviertel,0103,6120,198,284,79,896,2093,569,762,1239,2959
11001001,Mitte,Tiergarten,0104,16217,776,1033,348,1898,5780,1918,1902,2562,7720
11001001,Mitte,Wedding,0105,86662,4114,5721,1947,11643,32105,9708,9698,11726,41833
11001001,Mitte,Gesundbrunnen,0106,95014,4989,8628,2940,12893,32090,11590,10158,11726,45803
11002002,Friedrichshain-Kreuzberg,Friedrichshain,0201,142116,7254,10140,2800,14494,61871,19407,12940,13210,68915
11002002,Friedrichshain-Kreuzberg,Kreuzberg,0202,150673,6808,11096,3941,16409,51011,21522,19925,19961,73681
11003003,Pankow,Prenzlauer Berg,0301,169856,8006,13139,4551,16670,61427,27148,21524,17391,85569
11003003,Pankow,Weißensee,0302,58297,2989,5126,1638,5717,18245,7901,7577,9104,29664
11003003,Pankow,Blankenburg,0303,6806,238,678,240,450,1126,933,1331,1810,3439
11003003,Pankow,Heinersdorf,0304,10265,728,980,259,1026,2804,1129,1438,1901,5019
11003003,Pankow,Karow,0305,20149,1169,2358,685,1646,4442,2549,3135,4165,10295
11003003,Pankow,Stadtrandsiedlung Malchow,0306,1050,25,69,34,62,124,166,214,356,513
11003003,Pankow,Pankow,0307,68836,3585,6248,2071,6550,20962,10111,8764,10545,35765
11003003,Pankow,Blankenfelde,0308,2106,79,183,68,137,337,286,416,600,1029
11003003,Pankow,Buch,0309,17603,1046,1656,514,1734,4585,2111,2025,3932,8792
11003003,Pankow,Französisch Buchholz,0310,21930,1086,2294,734,1695,4888,3024,3827,4382,11110
11003003,Pankow,Niederschönhausen,0311,33539,1649,3254,1092,3300,7932,4622,5232,6458,17625
11003003,Pankow,Rosenthal,0312,10050,475,1021,358,864,1981,1345,1888,2118,5149
11003003,Pankow,Wilhelmsruh,0313,8413,440,687,225,770,2074,1023,1268,1926,4330
